code emotion trainCount devCount testCount
0 ambig 0.08887352794408798 0.08459270000457764 0.0899207666516304
1 neutral 0.18735314905643463 0.1868779957294464 0.19716233015060425
2 -ve 0.295392781496048 0.29340213537216187 0.2959277629852295
3 +ve 0.3505183160305023 0.35772207379341125 0.34328359365463257
4 ambig/neutral 0.009145358577370644 0.008293402381241322 0.009581721387803555
5 ambig/-ve 0.006956922356039286 0.007003317587077618 0.008291874080896378
6 ambig/+ve 0.0178530290722847 0.014559527859091759 0.016399484127759933
7 neutral/-ve 0.011126468889415264 0.01087357196956873 0.011055831797420979
8 neutral/+ve 0.018083391711115837 0.021931441500782967 0.014188317582011223
9 -ve/+ve 0.013660446740686893 0.014006635174155235 0.013635526411235332
10 ambig/neutral/-ve 9.214466990670189e-05 0.0 0.00036852771881967783
11 ambig/neutral/+ve 0.0006219765054993331 0.0005528934998437762 0.00018426385940983891
12 ambig/-ve/+ve 9.214466990670189e-05 0.0 0.0
13 neutral/-ve/+ve 0.0002303616638528183 0.00018429782357998192 0.0
14 ambig/neutral/-ve/+ve 0.0 0.0 0.0
